""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[3.12 .. 3.15]"	2.1874	1.4947	2.4277	0.55212	0.92787	1.0385	2.9064	1.5681	2.8503	2.2381	1.9265	0.90119	2.1035	0.81712	0.84313	0.62726	0.55853	1.3308	1.4666	1.4712	0.93207	1.9463	1.5959	0.8668	3.0939	1.0855	1.8098	1.862	1.4297	1.5743	2.0428	1.3837	0.81569	1.5663	1.2137	2.2113	1.4236	2.2988	1.502	1.1214	1.2375	0.76805	1.9438	0.53913	1.2536	1.7459	0.97421	0.64622	0.70181	1.1637
"[3.15 .. 3.17]"	1.4948	0.85352	1.6639	0	0.46962	0.59397	1.2076	0.74434	1.5772	1.4212	1.2917	0.51694	1.0217	0.47029	0.14271	0.0077797	0.078949	0.67261	0.32804	1.294	0.65243	1.2724	1.2176	0.33368	0.98556	0.55878	1.3121	0.63661	0.56069	0.56726	1.1823	1.1061	0.28745	1.1077	1.1467	1.3904	1.3287	1.4826	0.66293	0.42956	0.91227	0.44063	0.95603	1.6869	0.89154	1.0493	0.47928	0.20623	0.93926	0.35602
"[3.17 .. 3.19]"	4.0932	2.7479	4.0195	1.7493	3.0199	2.8823	3.5103	2.9043	4.2556	3.5602	3.7561	2.776	3.9535	2.0932	1.3856	2.3352	1.3602	2.3364	2.0387	4.0632	2.5767	3.9557	3.3467	1.6817	3.9873	2.2512	4.3788	2.6965	1.7961	3.0169	3.7909	3.155	2.5637	4.2313	3.0403	4.3353	4.1367	4.0677	3.1419	2.2502	2.9207	2.5114	3.3229	1.1363	3.091	3.6552	2.797	1.9	2.7223	2.3134
"[3.19 .. 3.25]"	74.396	67.367	66.099	60.546	73.202	62.143	88.893	65.378	64.655	69.968	86.634	73.17	90.562	70.433	65.568	74.523	49.437	49.916	65.783	72.911	78.328	69.171	83.034	33.538	84.79	58.139	75.212	46.946	67.972	84.03	72.657	57.043	81.492	69.571	57.8	90.269	69.493	68.324	63.86	65.719	61.729	57.068	74.78	41.688	55.927	71.255	62.1	70.083	59.35	80.31
"[3.25 .. 3.30]"	7.6355	12.054	11.113	9.3054	12.294	10.538	11.287	11.429	10.945	11.413	11.272	10.794	13.408	10.981	11.263	11.35	8.0255	8.992	9.9572	12.297	12.472	10.87	19.763	6.2595	9.4221	10.616	8.5981	5.3338	14.068	9.9636	9.3908	9.5842	10.817	13.004	9.5831	10.451	10.492	9.9818	11.251	11.427	9.9614	9.2599	12.941	6.695	8.0814	9.4421	9.7419	11.996	9.5844	8.7202
"[3.30 .. 3.33]"	0.76878	0.99953	1.1962	0	0.28592	0.51786	0.83377	0.88812	0.92073	1.1226	0.8891	0.27485	0.72728	0.52712	0.70791	0.057763	0.30075	0.50984	0.49658	1.1883	1.6076	0.96671	0.89627	0.25448	0.53081	0.67575	0.44768	0.49669	1.0918	0.22084	0.98036	1.5366	0.26511	0.52866	1.9301	0.67182	1.1884	0.80708	0.40338	0.53639	0.72698	0.3443	1.0593	0.35768	0.62117	0.57745	0.2906	0.79201	0.99487	0.4872
"[3.33 .. 3.36]"	5.9986	3.2576	6.798	3.6418	2.6107	2.9296	3.9193	3.857	4.685	3.572	8.3877	5.3463	5.0568	2.4001	2.174	2.7446	1.0061	2.9744	2.0504	8.0976	7.1764	6.538	4.4378	3.9785	5.3681	3.0438	4.9619	2.1718	6.3513	2.6825	5.2796	7.4391	7.3745	7.7197	3.8142	4.5369	6.5186	5.5553	4.8118	2.6954	4.5549	3.8194	7.077	0.66677	4.2074	4.0139	5.8494	7.7507	2.6909	2.6904
"[3.36 .. 3.38]"	2.8762	3.5887	0.80949	2.8887	3.4359	3.0479	4.9913	3.693	4.9667	3.4499	0.53066	2.5462	3.5801	2.4424	0.034822	2.9333	1.139	0.67177	0.74445	0.43844	0.20119	1.2982	0.83366	1.2776	9.3627	3.2795	3.7675	3.4408	0.58019	3.1488	5.5007	0.51389	0	0.40936	0.39825	5.2311	0.31095	2.8256	3.7138	2.1807	0.52659	1.5487	1.7921	0.5973	1.4394	3.976	0.91119	0	0.45946	1.7249
"[3.38 .. 3.43]"	36.2	58.206	38.483	38.812	53.541	47.791	39.178	32.337	43.609	59.162	49.505	53.195	34.945	65.698	49.033	36.839	33.99	39.917	47.888	42.4	43.279	43.173	56.682	22.379	30.545	45.115	38.545	20.875	76.375	43.044	36.036	32.626	41.646	49.468	33.168	43.996	44.052	36.43	41.175	65.352	37.88	42.099	52.849	46.286	35.118	33.697	47.439	42.071	45.571	41.019
"[3.43 .. 3.45]"	2.1526	1.4793	1.7832	0.72121	1.5251	2.4005	2.0367	1.9191	2.0634	2.2923	1.773	1.5531	1.1437	2.1769	1.315	1.1744	0.86548	1.6675	1.558	1.6815	1.7994	2.621	1.6088	1.0453	1.4953	1.5479	1.6162	1.0048	2.0755	1.2498	2.1934	1.822	0.9284	1.2248	1.3076	2.286	1.3262	2.0838	2.161	1.8739	2.046	1.1347	1.9971	3.4695	1.7963	1.8132	1.898	1.3811	1.6495	2.1857
