""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[6.85 .. 6.91]"	0.85185	0.861	1.1935	0.77506	0.82129	0.67223	1.0797	0.85457	0.87786	1.2589	0.81935	0.95792	0.8127	0.77723	0.47824	1.0573	0.48077	0.62399	1.2662	0.65741	1.1564	0.8147	1.07	0.48856	0.4572	1.4042	0.91138	0.95054	0.28242	0.71824	0.64078	0.59249	0.76181	0.69192	0.56851	0.95203	0.59126	1.239	0.61325	0.62341	0.64414	0.90604	0.36599	0.44067	0.42984	1.2383	0.74452	0.78045	0.63062	0.78028
"[6.91 .. 6.96]"	0.20134	0.0048323	0.43493	0	0	0.0072568	0.31378	0.3356	0	0.40736	0.12289	0	0.016598	0.0024485	0.029251	0.0012978	0	0.067876	0.60814	0	0.63849	0.0058479	0.43356	0	0	0.6688	0.0045376	0.36796	0.003083	0.006503	0	0	0	0	0.14563	0	0	0.66727	0	0	0	0	0	0.038224	0	0.63549	0	0	0	0
"[6.96 .. 7.01]"	0.47147	0	0.38797	0.032679	0	0	0.39254	0.58101	0.015049	0.64072	0.13848	0.062154	0	0.017597	0	0.10218	0.0017816	0	0.68211	0.21596	0.8008	0	0.6169	0	0	0.8045	0.012701	0.42141	0	0.018996	0	0	0	0	0.20281	0	0	0.86785	0	0.0033189	0	0	0	0.0072762	0	0.81028	0	0	0	0.014131
"[7.01 .. 7.07]"	0.73943	0.49862	0.92784	0.41644	0.5325	0.59159	0.80293	1.0204	0.63276	0.98237	0.68955	0.75815	0.81321	0.55046	0.43881	0.83456	0.46553	0.56914	0.95948	0.68368	1.0018	0.76554	0.82891	0.35458	0.67791	1.1301	0.74822	0.66119	0.35184	0.54057	0.6524	0.55873	0.76301	1.1242	0.62112	0.77198	0.89162	1.0104	0.73883	0.45738	0.59129	0.63189	0.63736	0.29243	0.36554	1.157	0.61438	0.69135	0.43111	0.62676
"[7.07 .. 7.09]"	0	0	0.041976	0	0.0012308	0	0.007372	0.091142	0.01975	0.066837	0	0	0	0.013406	0	0.0014583	0	0.0032009	0.17724	0.0002479	0.19744	0	0.087442	0.0014164	0	0.18056	0	0.09843	0	0	0.0088517	0	0.0046744	0	0	0.0062127	0	0.10213	0	0.00061461	0	0.0078431	0.034992	0.010568	0.0085193	0.13457	0	0	0	0.0011957
"[7.09 .. 7.14]"	0	0	0.033987	0.0059173	0.0031498	0.023945	0.0489	0.24608	0	0.18307	0.0063748	0.003043	0.011245	0.009371	0	0.018554	0.030289	0	0.36959	0.0113	0.35945	0.0022403	0.25437	0.0011664	0.016365	0.46153	0.027395	0.20535	0.0020372	0	0	0	0	0.040854	0	0	0	0.41495	0.0042828	0.0064151	0	0.001411	0	0	0	0.49099	0.0025804	0	0.0052746	0.023352
"[7.14 .. 7.20]"	0.69336	0.68258	1.0333	0.825	0.61801	0.4847	0.93553	0.6717	0.71831	1.0225	0.75503	0.87088	0.6219	0.66262	0.47733	0.80156	0.41097	0.60974	0.94085	0.69487	0.88912	0.86378	0.94088	0.39681	0.50187	1.2542	0.71311	0.69115	0.1332	0.51434	0.56523	0.44961	0.73615	0.94192	0.35876	0.80808	0.57134	1.0283	0.53674	0.56753	0.48201	0.74874	0.17228	0.42298	0.31376	1.0375	0.68336	0.8588	0.63799	0.6146
"[7.20 .. 7.23]"	0.027234	0.012036	0.20024	0	0	0.0056617	0.071704	0.20953	0.0051143	0.19264	0.0015914	0	0.0059252	0.006993	0.0044478	0	0	0	0.31408	0	0.34	0	0.28125	0	0	0.39699	0	0.16069	0	0	0.011166	0	0	0.010067	0.06482	0.023843	0	0.30133	0	0.0121	0	0.013446	0	0	0	0.3195	0	0.010966	0	0
"[7.23 .. 7.26]"	0.25413	0.0051611	0.3091	0.055696	0.062533	0.015044	0.29961	0.29127	0.036396	0.40384	0.0080883	0.022476	0.035046	0.043981	0.013358	0.0028111	0.0099219	0.044899	0.34476	0.0027321	0.41785	0	0.37154	0.015248	0.049046	0.5957	0.065578	0.24364	0.01622	0.047076	0.1467	0.058463	0.042992	0.029791	0.09212	0.14611	0.038275	0.53412	0.026177	0	0.0024569	0	0.0498	0.039452	0.028048	0.5036	0.039765	0.014641	0.013232	0.038414
"[7.26 .. 7.29]"	0.10911	0	0.23291	0	0	0	0.2149	0.22374	0	0.21165	0	0	0	0	0	0	0	0	0.34944	0	0.38935	0	0.27438	0	0	0.3812	0	0.18022	0	0	0	0	0	0	0.0058179	0	0	0.37218	0	0	0	0	0	0	0	0.34574	0	0	0	0
"[7.29 .. 7.33]"	0.25898	0.032912	0.44318	0.057367	0.045746	0.033254	0.46264	0.43527	0.035506	0.51353	0.039639	0.01453	0.020831	0.12709	0.028626	0.041969	0.036159	0.19566	0.617	0.049135	0.59488	0.02257	0.4339	0.052571	0.0085459	0.79152	0.021343	0.35445	0.004355	0.012318	0.0096099	0.17562	0.0060092	0.019429	0.19354	0.10983	0.059597	0.65947	0.036816	0.065085	0.016044	0.048289	0.019275	0.026187	0.013011	0.56834	0.026357	0.020937	0.013065	0.19828
"[7.33 .. 7.38]"	0.1805	0	0.27211	0	0	0.0043868	0.30195	0.34556	0	0.37078	0	0.0012504	0.0051595	0.0011342	0	0	0	0	0.51257	0	0.49791	0	0.41621	0	0.0069237	0.6785	0	0.28519	0	0	0.0084533	0.026431	0.0055159	0	0.091699	0	0	0.55522	0	0.0063205	0.017596	0	0.004924	0	0.0023386	0.59334	0.00011333	0.007263	0	0.00021016
"[7.38 .. 7.44]"	0	0	0	0.018306	0.02032	0	0.1165	0.27128	0.0010627	0.18102	0.020336	0	0.011102	0.015395	0.0038859	0.023014	0.016387	0.028827	0.49694	0.01788	0.38474	0.03016	0.24726	0.023184	0.0090379	0.60407	0	0.29117	0.0023874	0.020977	0	0	0	0.0043345	0	0.071784	0.035135	0.42003	0	0.0069976	0	0	0	0.011621	0.0034874	0.3877	0.010226	0.0049758	0.0019467	0.0079187
"[7.44 .. 7.47]"	0	0.010543	0	0	0.0066252	0	0	0.048843	0.0039996	0	0	0	0	0	0	0.009673	0	0.0072964	0.12742	0.012431	0.13187	0.0016992	0.053659	0	0	0.13708	0.0029369	0.074691	0	0	0.003122	0	0.026792	0	0	0	0	0.042381	0.0014127	0	0.0084857	0	0.0058829	0.00019468	6.4519e-05	0.078511	0.0062782	0	0.00063339	0
"[7.47 .. 7.51]"	0	0	0	0.0087946	0	0.012489	0	0.064986	0	0.023213	0	0	0	0	0.015414	0	0.0032449	0	0.22992	0	0.16914	0	0.12491	0.001227	0.0061742	0.22971	0.0056893	0.060931	0	0	0	0	0	0.011685	0	0.0080961	0	0.1201	0.014602	0.0031698	0	0	0	0	0	0.14286	0	0	0	0.012668
"[7.51 .. 7.56]"	0.27972	0.039227	0.47197	0.10602	0.32946	0.028755	0.27428	0.46665	0.12178	0.42244	0.099949	0.0053539	0	0.10862	0.0041575	0.28142	0.15968	0	0.36236	0.10717	0.63794	0.30196	0.61561	0.026792	0.13462	0.58558	0.12228	0.37433	0.051437	0.0061098	0.23249	0.15064	0.38992	0.39942	0.18011	0.08125	0.64401	0.59475	0.075249	0.1068	0.12231	0.031036	0.097676	0	0.2449	0.63873	0.16101	0.11375	0.25153	0.08949
"[7.56 .. 7.62]"	0	0	0.024758	0	0	0	0.044793	0.18746	0	0.16221	0	0	0.010488	0	0.12026	0	0.0037254	0.08932	0.50178	0	0.23746	0	0.16263	0.0020634	0	0.41882	0.014987	0.20987	0.0041435	0	0.0046066	0	0	0	0	0	0.012563	0.27378	0	0	0	0	0	0.019409	0.0057056	0.34679	0.014307	0.0012018	0.015295	0
"[7.62 .. 7.64]"	0	0.0055792	0	0.0056187	0	0	0	0.067815	0.004562	0.020976	0	0	0	0.01325	0	0.010194	0	0	0.10842	0.0040537	0.12099	0	0.09351	0	0.011599	0.15693	0	0.07435	0	0.0023698	8.2567e-05	0.015918	0	0	0	0	0	0.11897	0	0	0	0	0.00027642	0	0	0.10384	0.010097	0.0010593	0	0.015991
"[7.64 .. 7.66]"	0	0	0.055435	0	0.00065924	0	0	0.057552	0	0.054801	0	0	0.00095854	0	0	0	0.0004966	0	0.1399	0	0.13499	0	0.11426	0	0	0.14604	0	0.080278	0.0027002	0	0	0	0	0.011465	0.054406	0	0	0.12856	0	0	0	0	0	0	0	0.15631	0	0	0	0
"[7.66 .. 7.72]"	0.83574	0.27185	1.2408	0.60341	0.13942	0.10326	0.74054	0.7264	0.16403	0.76104	0.54663	0.58902	0.26464	0.041027	0.025868	0.12485	0.061072	0.010495	0.5356	0.32437	1.2102	0.19111	1.0377	0.31238	0.37295	0.98077	0.21798	0.51716	0.40326	0.060486	0.11026	0.84548	0.036286	0.12119	0.70379	0.21588	0.16259	1.1643	0.13027	0.029366	0.20042	0.12854	0.036041	0.015956	0.21188	1.0841	0.24944	0.45976	0.2777	0.035977
"[7.72 .. 7.75]"	0.77437	0.51153	0.83335	0.36954	0.51574	0.53061	0.8152	0.90154	0.58807	0.8667	0.45313	0.68219	0.57539	0.51525	0.57381	0.7934	0.4793	0.588	0.97414	0.39028	0.60851	0.4404	0.65377	0.30637	0.61869	1.0242	0.49626	0.62572	0.31973	0.41498	0.57874	0.49737	0.41055	0.67567	0.57025	0.70886	0.5439	0.88042	0.64609	0.37516	0.27896	0.39928	0.46233	0.40045	0.25657	0.87598	0.45627	0.63355	0.15192	0.51344
"[7.75 .. 7.79]"	0.081825	0	0.22225	0	0	0	0.11347	0.26183	0	0.16695	0.0037907	0.0034891	0	0	0.016244	0	0	0	0.36579	0	0.30586	0	0.28925	0	0	0.39527	0	0.14535	0.061507	0	0	0.0098725	0	0	0	0	0	0.29725	0	0	0	0	0	0	0	0.33012	0	0	0	0
"[7.79 .. 7.82]"	0.11438	0	0.12825	0.024468	0	0.0011462	0.11119	0.27131	0	0.20381	0.0033529	0	0.027838	0.0020798	0.058822	0.024506	0.018907	0.075608	0.35826	0.016165	0.28354	0.016404	0.22316	0.024847	0.013702	0.34869	0.017571	0.12974	0.023373	0	0.003824	0.014587	0.024182	0.033908	0.012735	0.018696	0	0.2764	0.018003	0.02047	0	0.026552	0	0.016817	0.017282	0.25381	0.012268	0.059729	0.011177	0.019307
"[7.82 .. 7.88]"	0	0.012419	0	0	0.023525	0	0	0.13132	0	0	0	0	0	0	0	0.005012	0.0022933	0	0.30818	0	0.23792	0.015742	0.15858	0	0	0.41098	0	0.089201	0.0012764	0.0034377	0	0.0053009	0	0	0	0	0	0.19772	0	0	0.00022541	0	0	0.0055312	0	0.21885	0	0	0	0
"[7.88 .. 7.92]"	0	0	0	0.011153	0	0.0086768	0	0.057798	0.0047882	0	0.0055039	0.010137	0	0.0083633	0	0	0	0.012277	0.15088	0	0.099779	0.0092298	0.046327	0	0	0.20014	0.0018955	0.05014	0	0	0	0	0.026534	0.016026	0	0	0.010139	0.14169	0	0.014744	0	0	0.007634	0	0	0.12865	0.0044642	0	0	0.0079134
"[7.92 .. 7.97]"	0	0.0058447	0	0.0056044	0.01977	0	0	0	0.012171	0.006119	0.0010406	0	0.0090017	0.0085395	0.0096255	0.011854	0.0029459	0	0.21297	0.0095905	0.075743	0	0.11393	0	0	0.25894	0	0.052761	0.010805	0	0	0	0	0	0	0	0	0.087102	0.016864	0	0.0080923	0.011262	0.0073498	0.0038666	0	0.16629	0	0.014151	0.0065782	0.0037407
"[7.97 .. 8.01]"	0	0	0	0.0044103	0	0.0037562	0	0.08681	0	0.012791	0	0	0.012545	0	0	0.0047853	0	0.0073253	0.19488	0	0.03435	0.0016494	0.039596	0.0038464	0.0013883	0.24799	0.0081581	0.070852	0	0	0.027841	0.0073906	0	0.011123	0	0	0	0.20365	0.0059779	0	0	0	0	0	0.016403	0.13747	0	0.00062043	0	0
"[8.01 .. 8.05]"	0	0.0098947	0	0.0062656	0	0	0	0.019042	0	0	0.014633	0	0	0	0.0042876	0	0.015508	0	0.16402	0	0.032646	0.01447	0.08377	0	0.015821	0.22832	0.002893	0.0531	0.0051396	0	0	0.0052172	0.0030428	0	0	0.018577	0	0.14124	0	0	0	0	0.0038632	0	0	0.14526	0	0.0031017	0	0.00010336
"[8.05 .. 8.11]"	0	0	0	0.0060186	0	0	0	0.035831	0.032397	0	0	0.015322	0	0.026412	0	0.024568	0	0	0.21498	0.028553	0.096658	0	0.077867	0	0	0.20247	0	0.097348	0	0.012278	0	0	0	0.021996	0	0.016444	0.00012909	0.17897	0.017163	0.011209	0.0017968	0	0	0.0026878	0.004826	0.14488	0.0061777	0.014183	0	0.015339
"[8.11 .. 8.15]"	0	0	0	0	0.021139	0	0	0.025745	0	0	0.0079419	0	0.011684	0	0.0035023	0	0.0018702	0.001651	0.11578	0	0.11282	0.021632	0.04583	0	0	0.18645	0.0087812	0.062667	0.0011389	0	0	0	0.0066094	0	0	0	0	0.13053	0.0033034	0	0.01541	0	0	0.0049234	0	0.087443	0.00046681	0	0.017813	0.0010792
"[8.15 .. 8.18]"	0	0	0	0	0.0035193	0	0	0.083496	0.0041985	0.038054	0	0.024476	0.0054738	0	0.011129	0.028259	0.0044592	0.013971	0.15173	0.032825	0.038514	0.0027102	0.075082	0.012847	0.027509	0.16844	0	0.17915	0	0.021146	0.03801	0	0.011614	0.012748	0	0.0047441	0.025553	0.13633	0	0.018435	0.0021147	0	0.035185	0	0.016502	0.15646	0.011983	0.010372	0	0.011674
"[8.18 .. 8.23]"	0	0.017522	0	0	0	0	0	0.067354	0	0.0035248	0	0	0.0010382	0	0	0	0	0	0.21705	0	0.16931	0	0.057199	0	0	0.20508	0.010207	0.063462	0.011145	0	0.0033571	0.019865	0	0.016598	0	0.0097669	0	0.20106	0	0	0	0.016022	0	0	0	0.14411	0.00045431	0.032231	0.003328	0.004594
"[8.23 .. 8.26]"	0	0	0	0	0	0.0055166	0	0.045482	0	0.0084029	0.024235	0.014621	0	0	0	0	0.0034924	0.0024381	0.059976	0.000587	0	0.012563	0.03076	0.005217	0	0.083089	0	0.039003	0	0	0	0.0010806	0	0	0	0.0064621	0	0.034459	0.014056	0.002461	0.0094113	0	0	0	0	0.075991	0	0	0	0
"[8.26 .. 8.31]"	0	0.0054457	0	0.0031339	0	0	0	0.010501	0.020179	0.055898	0	0.0060945	0.010728	0.0080812	0	0.00044352	0	0	0.14702	0.0064146	0	0	0.11037	0	0	0.15633	0.013979	0.041659	0.0070145	0.019233	0.0023875	0	0.020848	0.0065957	0	0	0	0.15582	0	0	0.0034935	0	0.011259	0	0	0.13635	0	0.024114	0	0
"[8.31 .. 8.33]"	0	0	0	0.034572	0.0022714	0.036019	0	0	0	0.01224	0.011638	0	0	0	0	0	0.00063815	0.0045938	0.082696	0	0	0	0.022191	0	0	0.043751	0	0.025148	0	0	0	0	0	0	0	0.0073408	0.0082366	0.027937	0.0016855	0	0	0.018707	0	0.0076722	0.0075825	0.039985	0.0022289	0	0	0.020559
"[8.33 .. 8.35]"	0	0.0013752	0	0	0.0014788	0.050338	0	0.032475	0.0063853	0	0.017046	0.012592	0	0.021855	0.008388	0.035348	0.010382	0.0071658	0.081793	0.019389	0	0.010135	0.032949	0.011505	0.021286	0.046005	0.039242	0.028726	0.0059688	0.022715	0.016096	0.005228	0.010988	0.015084	0	0.010077	0.0093934	0.028585	0.021762	0.016361	0.039824	0	0.040495	0	0.0016076	0.077034	0.029303	0.019082	0.018519	0.0050485
"[8.35 .. 8.39]"	0	0	0	0	0	0	0	0.022047	0	0.054731	0	0	0.0025958	0	0	0	0	0	0.06313	0.0044768	0	0	0	0	0	0	0	0.065591	0	0	0	0.02887	0.011789	0.0061988	0	0	0	0.056648	0	0	0	0	0	0.0072348	0	0.095858	0	0	0	0
"[8.39 .. 8.40]"	0	0.0037628	0	0.018724	0	0.0015104	0	0	0.0099457	0.011448	1.9974e-05	0.0061431	0.00091235	0.0047582	0.0058372	0.003306	0	0.0072857	0.0057699	0.0013824	0	0	0.00031384	0.0054673	0	0	0	0.0087216	0.0028626	0	0.0031029	0	0	0	0	0	0.0077947	0.012249	0.0042472	0.0057239	0	0	0	0	0.007312	0.014768	0.011522	0	0.0086673	0.0052265
"[8.50 .. 8.53]"	0	0	0.046829	0	0	0.0030373	0.021199	0.12703	0.0026992	0	0	0	0	0	0	0	0.017595	0.0045168	0.13522	0	0.12717	0	0.14322	0.00030502	0.028697	0.26362	0.0099143	0	0.0029687	0.0033026	0	0	0	0	0.0094202	0	0	0.14296	0	0.020614	0.0022349	0	0.0079862	0	0.00050723	0.0069647	0	0.0016687	0	0
"[8.53 .. 8.56]"	0	0.027502	0.018003	0.028511	0	0.0021347	0.086339	0.11874	0.0033427	0.0014237	0.040135	0.017609	0.011942	0.010457	0.021739	0.037857	0	0.004482	0.1868	0.0078282	0.15375	0.010505	0.17302	0.013189	0	0.20266	0.0026848	0	0.0051244	0.0053129	0.026678	0.0026039	0.0086779	0.02019	0	0.015184	0.0042513	0.11212	0.0096956	0	0.0013516	0.0059196	0	0.0071591	0.018921	0.0012367	0.022033	0.0097399	0.013791	0.010086
"[8.56 .. 8.59]"	0	0	0.072929	0	0	0	0	0.07561	0	0	0	0	0	0	0	0.0033829	0	0	0.11208	0	0.15272	0	0.085809	0.0031344	0	0.26218	0	0	0	0.0029485	0	0	0.0071725	0	0	0	0.014189	0.11309	0	0.0032496	0	0	0	0	0	0.012178	0	0	0	0.00028132
"[8.59 .. 8.64]"	0	0.0029046	0.020984	0.00078748	0.010495	0	0	0.098589	0.0092036	0	0	0.0046281	0	0.0040496	0	0	0.018181	0.0034774	0.19606	0	0.18596	0.042604	0.12507	0	0	0.26973	0.0086534	0	0	0	0.018389	0.026308	0	0	0	0	0	0.10688	0	0	0.0091746	0.0073923	0	0	0.016763	0.026066	0	0	0.0092576	0
"[8.64 .. 8.69]"	0	0	0.072478	0	0.0078673	0.0093519	0	0.14002	0.0061986	0	0.010278	0	0.021668	0.0038643	0.0015497	0	0	0	0.18361	0.023282	0.071076	0	0.12239	0.0046996	0	0.29411	0	0.023687	0.0023595	0.011067	0.0036527	0	0.0014921	0	0.0063215	0	0	0.13149	0	0.0062914	0	0	0.014028	0	0	0.065671	0.0011193	0.0085268	0.010841	0
"[8.69 .. 8.75]"	0	0.00014772	0.09013	0	0	0	0	0.16588	0.0082307	0	0.0091287	0.0039527	0	0.0050954	0	0	0.0064599	0.019515	0.1748	0	0.072676	0	0.076033	0	0.032386	0.29474	0.0056126	0	0.0039094	0	0.022584	0	0	0.0067526	0	0	0	0.14369	0	0.00017503	0.0045814	0	0	0.0016106	0.011262	0.021676	0	0	0	0.01217
"[8.75 .. 8.80]"	0	0	0	0.011581	0.00041303	0.014691	0	0.14324	0	0	0	0	0.0081135	0	0.0097257	0.019655	0.0014999	0	0.15902	0	0.073394	0.021891	0.11999	0	0	0.24968	0	0	0.0042209	0.0090113	0.0010893	0.0016679	0.0010343	0	0.0041902	0.0019269	0.024165	0.15856	0.013881	0.0069008	0.0058388	0.0044503	0.0092021	0.0086662	0	0.035054	0.00067939	0.01308	0	0.0020904
"[8.80 .. 8.86]"	0	0.0070878	0.055903	0	0.00080303	0	0	0.049774	0.012394	0	0	0.0017924	0.0216	0.0011084	0	0	0	0	0.19062	0.0021725	0.054235	0	0.16675	0.0027048	0.0054175	0.30514	0	0	0	0	0	0	0	0.018524	0	0	0.022372	0.2445	0.0020313	0.0078465	0	0.017701	0	0	0.010961	0.0066387	0.018841	0.0029389	0.0016649	0
"[8.86 .. 8.88]"	0	0	0	0	0	0	0	0.086335	0	0	0	0.013667	0	0	0.0088279	0	0.0072989	0	0.12127	0	0.048768	0.01506	0.074409	0.003677	0	0.1032	0.0033676	0.016806	0	0.021577	0.016078	0	0.022412	0.012146	0.0034614	0.010608	0	0.071172	0	0	0	0	0	0.010907	0.0098259	0.015348	0	0	0	0
"[8.88 .. 8.94]"	0	0.01196	0	0	0.0056178	0	0	0.18145	0.026266	0	0.01172	0	0.022456	0	0.00053683	0	0	0.004159	0.19534	0.0031884	0.046626	0	0.13233	0	0.01699	0.29213	0	0	0.022891	0	0	0.0043622	0	0	0.0005586	0.017767	0.0091038	0.059474	0.0032393	0.00017676	0.017222	0	0.010071	0	0	0.074569	0.0074294	0.00081684	0.02168	0
"[8.94 .. 8.98]"	0	0	0.048211	0.0082961	0	0.015526	0	0.072803	0	0	0	0.0062677	0	0.01036	0	0.0038957	0.0045649	0	0.11788	0.023903	0.053526	0	0.12112	0	0	0.20669	0	0	0	0.025304	0.0091276	0	0.0046783	0.0086655	0	0	0.022713	0.10621	0	0.0027238	0.0062139	0.0074751	0.0053747	0.0037776	0	0.0065054	0	0.011413	0	0
"[8.98 .. 9.00]"	0	0.015652	0.011363	0	0	0	0	0.01701	0.0033243	0	0.0022838	0	0	0.0093456	0	0	0.0034155	0.0062524	0.073431	0	0.040435	0.010147	0.029317	0.010716	0.022445	0.12366	0	0.0076434	0.0030245	0.0027685	0	0.011314	0	0	0.0083985	0.0036969	0.068187	0.094974	0.0043611	0	0	0	0.012229	0.0022525	0	0.010427	0	0	0	0.0066528
"[9.00 .. 9.04]"	0	0.0020025	0.087117	0.010599	0.014237	0	0	0.07099	0	0	0	0	0.021106	0	0	0.019373	0.0064278	0	0.14275	0	0.049092	0	0.13279	0.00030781	0	0.15548	0.0018605	0	0	0	0.0050955	0	0.010162	0	0.01175	0	0	0.093606	0	0.0028423	0.0087343	0	0	0	0.00114	0.045678	0	0.015507	0.0014228	0.0043509
"[9.04 .. 9.08]"	0	0	0	0.0072597	0.0016131	0.0034157	0	0.070622	0	0	0.005773	0.019423	0	0	0.0050147	0	0	0	0.13174	0.031164	0.053833	0.020736	0.044504	0	0.0044143	0.12348	0.013424	0.020698	0	0.0054357	0	0	0	0.021755	0	0.010427	0.012139	0.10227	0.013343	0.00146	0.0072218	0	0.0089392	0	0.0048308	0.059985	0.023114	0	0	0
"[9.08 .. 9.13]"	0	0	0.018294	0	0.012063	0.013532	0	0.1487	0	0	0.0022738	0	0.00063164	0.025168	0	0.00851	0.011829	0	0.22566	0	0.0035521	0	0.13889	0.0015716	0	0.25754	0	0	0	0.012611	0.0027554	0	0.0049002	0	0.0052836	0	0	0.22649	0	0	0	0.00026863	0.01019	0	0.00042745	0.067513	0	0.010626	0.00066893	0
"[9.13 .. 9.17]"	0	0	0.0027056	0.027164	0	0	0	0.064684	0.023621	0	0	0	0	0	0	0.007118	0	0.016379	0.11798	0.0068577	0	0	0.067373	0	0.0046785	0.13613	0	0.0098684	0.0049732	0	0	0.0071932	0.0035793	0.021264	0.0077123	0	0	0.099691	0	0	0.00017308	0.0071212	0	0.0028102	0	0.036319	0.0036331	0	0.025534	0
"[9.17 .. 9.20]"	0	0.0067354	0.019107	0	0.019229	0.018525	0	0.040391	0	0	0.0089147	0.017925	0.028234	0.0076068	0	0.012469	0.0050902	0.0041181	0.02928	0.014195	0.013445	0.013418	0.076596	0	0.003529	0.17088	0	0	0	0.0052327	0.006204	0	0	0	0.0021338	0.016267	0.0054947	0.09006	0.013374	0	0	0.0093963	0.012479	5.9955e-05	0.0081644	0	0.0065758	0	0	0.004683
"[9.20 .. 9.23]"	0	0.001994	0.027425	0	0	0	0	0.048439	0	0	0	0	0	0	0.00079073	0	0	0	0.11747	0	0	0	0.076061	0.015399	0	0.17425	0.028932	0	0.0041167	0.011797	0	0.019919	0.015314	0.046049	0.012685	0.00023963	0.022987	0.068124	0	0.0070892	0.004336	0	0.0019969	0	0	0.0212	0	0	0	0
"[9.23 .. 9.26]"	0	0	0	0.010183	0	0	0	0.050839	0	0	0.0046235	0	0.0035212	0.013127	0	0.0068579	0.0073138	0.0024076	0.06444	0	0	0.012936	0.030967	0.018783	0.0096191	0.15676	0	0	0.0030803	0	0.0068069	0	0.0025391	0	0	0	0	0.05054	0	0	0.0065171	0	0	0.0073222	0.00039283	0.022292	0.0010509	0.024143	0	0
"[9.26 .. 9.31]"	0	0.019038	0	0.0028282	0	0.0059818	0.0041857	0.11429	0.0030554	0	0	0	0	0.0030015	0	0.0053656	0	0.0050705	0.08623	0	0.024966	0	0.078929	0	0.0078149	0.26932	0.0021978	0.00075646	0	0.0020019	0	0.0017861	0	0.021046	0.0057778	0.0074669	0.024862	0.11435	0.010295	0.012425	0	0.0084655	0.024591	0	0.007067	0.14989	0.014244	0	0	0.010418
"[9.31 .. 9.34]"	0	0	0.011376	0	0.0076614	0	0	0.043633	0.0020844	0	0.033105	0.0051437	0.011764	0	0.014879	0	0.0036041	0	0.091278	0.030122	0	0	0.056411	0.0050516	0	0.20689	0	0	0	0.0042363	0	0	0.0015774	0	0.00045426	0.0069001	0.02526	0.067665	0.018099	0	0	0	0.010744	0	0	0	0	0	0.023224	0
"[9.34 .. 9.36]"	0	0	0	0	0.010983	0.021261	0	0.055778	0.0045698	0	0	0	0	0	0	0.012698	0	0.0076985	0.055696	0	0	0.013358	0.021088	0	0	0.11469	0.027856	0	0	0.0026104	0.019006	0.013901	0	0	0	0.019272	0	0.074038	0	0.023285	0.013677	0	0	0	0.0038376	0	0	0.0051398	0	0
"[9.36 .. 9.39]"	0	0.00035057	0	0	0.0015601	0	0	0.072985	0	0	0.0029419	0.030072	0	0.017766	0	0	0	0.00017254	0.071772	0.013341	0.0076337	0	0.069363	0	0	0.14863	0	0	0.0034826	0.0067077	0.0022627	0	0	0.028252	0	0	0	0.080465	0.025554	0	0	0	0	0.0066009	0	0	0.018933	0.0035118	0	0
"[9.39 .. 9.45]"	0	0	0	0	0	0.0018479	0.010569	0.082929	0.00052092	0	0	0	0.0011778	0.018301	0	0	0	0	0.15922	0.0056617	0	0.0073206	0.087624	0	0.028427	0.23066	0.0032234	0.041803	0	0.0040031	0	0.011469	0.0018086	0.014723	0.012748	0	0.010538	0.14498	0	0	0.013193	0.003899	0	0	0	0.0020358	0	0	0.026263	0.0010796
"[9.45 .. 9.50]"	0	0.0075486	0	0.00664	0	0.011322	0	0.10222	0	0	0.042744	0.013779	0	0	0	0.023162	0.00017517	0	0.15903	0	0	0	0.12917	0	0.0058223	0.22302	0	0	0	0.0013482	0	0	0	0	0	0.003379	0.011832	0.14045	3.1717e-05	0	0	0	0.023303	0	0.0073713	0.074324	0	0.011011	0	0.02283
